2017-08-29 17:36:40 [main] INFO  o.s.b.a.e.jmx.EndpointMBeanExporter - Located managed bean 'configurationPropertiesReportEndpoint': registering with JMX server as MBean [org.springframework.boot:type=Endpoint,name=configurationPropertiesReportEndpoint]
2017-08-29 17:36:40 [Thread-11] INFO  o.s.c.n.e.s.EurekaServerBootstrap - Setting the eureka configuration..
2017-08-29 17:36:40 [Thread-11] INFO  o.s.c.n.e.s.EurekaServerBootstrap - Eureka data center value eureka.datacenter is not set, defaulting to default
2017-08-29 17:36:40 [Thread-11] INFO  o.s.c.n.e.s.EurekaServerBootstrap - Eureka environment value eureka.environment is not set, defaulting to test
2017-08-29 17:36:40 [Thread-11] INFO  o.s.c.n.e.s.EurekaServerBootstrap - isAws returned false
2017-08-29 17:36:40 [Thread-11] INFO  o.s.c.n.e.s.EurekaServerBootstrap - Initialized server context
2017-08-29 17:36:40 [Thread-11] INFO  c.n.e.r.PeerAwareInstanceRegistryImpl - Got 1 instances from neighboring DS node
2017-08-29 17:36:40 [Thread-11] INFO  c.n.e.r.PeerAwareInstanceRegistryImpl - Renew threshold is: 1
2017-08-29 17:36:40 [Thread-11] INFO  c.n.e.r.PeerAwareInstanceRegistryImpl - Changing status to UP
2017-08-29 17:36:40 [Thread-11] INFO  o.s.c.n.e.s.EurekaServerInitializerConfiguration - Started Eureka Server
2017-08-29 17:36:40 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8761"]
2017-08-29 17:36:40 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8761"]
2017-08-29 17:36:40 [main] INFO  o.a.tomcat.util.net.NioSelectorPool - Using a shared selector for servlet write/read
2017-08-29 17:36:40 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8761 (http)
2017-08-29 17:36:40 [main] INFO  o.s.c.n.e.s.EurekaAutoServiceRegistration - Updating port to 8761
2017-08-29 17:36:40 [main] INFO  org.vm.server.discovery.Application - Started Application in 13.468 seconds (JVM running for 19.516)
